"corpus","preloaded/frtenten17_fl2"
"sommet",334407
"studio",334338
"jésus",334234
"f",333668
"fabrication",333395
"danger",332752
"bouche",332451
"ca",332303
"restaurant",332246
"suppression",331511
"philosophie",331186
"pc",330904
"héros",330731
"issue",330288
"orientation",330178
"ambiance",328530
"exception",328501
"cadeau",327832
"participant",327614
"chaleur",327564
"millier",327462
"livraison",327046
"déplacement",326459
"vendredi",326028
"nation",325879
"observation",325554
"etats-unis",325548
"john",325501
"conclusion",325321
"pro",325268
"axe",325113
"revanche",324426
"pôle",324348
"windows",324088
"autorisation",323986
"ingénieur",323861
"constitution",323707
"bouton",322901
"magazine",322734
